filename,label,query,bbc_id,description,n_samples,duration_ms,sample_rate,rms_db,status
landslide.wav,landslide,landslide rocks falling,NHU05038085,"MCU stream falling over rocks, in gum tr",9600,200,48000,-20.0,OK
volcano.wav,volcano,volcano erupting,NHU05034100,Mcu geyser in volcano. Bubbling water so,9600,200,48000,-20.0,OK
avalanche.wav,avalanche,avalanche snow,07023328,"Ice: Avalanche of ice, distant perspecti",9600,200,48000,-20.0,OK
rockpool.wav,rockpool,rockpool waves splashing,NHU05080067,Waves breaking on beach. Distant cicadas,9600,200,48000,-20.0,OK
peat_bog.wav,peat_bog,peat bog squelching,07039256,Squelching footsteps.,9600,200,48000,-20.0,OK
sand_pour.wav,sand_pour,sand pouring,07067013,Pouring basin into sink.,9600,200,48000,-20.0,OK
sand_wind.wav,sand_wind,sand blown wind desert,NHU05039063,"Blustery wind in desert, blowing over sa",9600,200,48000,-20.0,OK
soil_dig.wav,soil_dig,digging soil spade,07032294,Spade digging gravel.,9600,200,48000,-20.0,OK
compost_turn.wav,compost_turn,compost turning fork,07046085,Turning aluminium.,9600,200,48000,-20.0,OK
eating_apple.wav,eating_apple,eating apple crunching,07074159,"Masticating apple - 1967 (7C, reprocesse",9600,200,48000,-20.0,OK
eating_crisps.wav,eating_crisps,eating crisps chips,NHU05088245,Eating,9600,200,48000,-20.0,OK
eating_celery.wav,eating_celery,eating celery crunching,NHU05102093,Family group eating wild celery & contac,9600,200,48000,-20.0,OK
chewing.wav,chewing,chewing food,NHU05081082,CU growls in defence of food. Birds in b,9600,200,48000,-20.0,OK
swallowing.wav,swallowing,swallowing drinking,07020095,"Interior, one drinking.",9600,200,48000,-20.0,OK
sipping_tea.wav,sipping_tea,sipping tea cup,NHU05017027,"Bird calling ""What's that...(slurping so",9600,200,48000,-20.0,OK
pouring_drink.wav,pouring_drink,pouring drink glass,07058171,Canned drink opened,9600,200,48000,-20.0,OK
fizzy_pour.wav,fizzy_pour,fizzy drink pouring,07032215,Hot Drink Machine operating.,9600,200,48000,-20.0,OK
ice_cube.wav,ice_cube,ice cube dropping glass,07061077,Forklift truck dropping large boxes of g,9600,200,48000,-20.0,OK
cocktail_shake.wav,cocktail_shake,cocktail shaker,07052076,"Cocktail Party, atmosphere at a small co",9600,200,48000,-20.0,OK
wine_pour.wav,wine_pour,wine pouring glass,07065156,Wine glass dropped (5C2),9600,200,48000,-20.0,OK
beer_pour.wav,beer_pour,beer pouring pint,07005176,"Beer engine, one pint of beer pulled.",9600,200,48000,-20.0,OK
coffee_grind.wav,coffee_grind,coffee grinder,07027235,Household: Coffee Grinder.,9600,200,48000,-20.0,OK
coffee_pour.wav,coffee_pour,coffee pouring,07067044,Raking coffee beans to remove husks.,9600,200,48000,-20.0,OK
milk_froth.wav,milk_froth,milk frothing steaming,07006048,"Milk tanker arrives at dairy, stops, mil",9600,200,48000,-20.0,OK
bread_slice.wav,bread_slice,bread slicing knife,07067050,Cutting bread with saw knife.,9600,200,48000,-20.0,OK
butter_spread.wav,butter_spread,butter spreading,07024116,Spreading asphalt on road.,9600,200,48000,-20.0,OK
pan_sizzle.wav,pan_sizzle,pan sizzling oil,07002086,Sound of fish frying in a pan.,9600,200,48000,-20.0,OK
soup_bubble.wav,soup_bubble,soup bubbling,07032216,Soup & Sandwiches Machine operating.,9600,200,48000,-20.0,OK
oven_timer.wav,oven_timer,oven timer bell,07011050,Oven door. Closed.,9600,200,48000,-20.0,OK
audience_applause.wav,audience_applause,audience applause theatre,07043061,"Theatre Audience, laughter & applause in",9600,200,48000,-20.0,OK
audience_laugh.wav,audience_laugh,audience laughing,07043051,"Light Entertainment Audience, crowds lau",9600,200,48000,-20.0,OK
audience_boo.wav,audience_boo,audience booing,07005080,Booing and bleating. (Specially created ,9600,200,48000,-20.0,OK
crowd_murmur.wav,crowd_murmur,crowd murmuring,07035148,"Italian crowd, exterior, murmuring crowd",9600,200,48000,-20.0,OK
crowd_roar.wav,crowd_roar,crowd roaring football,00008047,Football crowd,9600,200,48000,-20.0,OK
pub_ambience.wav,pub_ambience,pub bar ambience,07027135,"Club/Pub: Large Club Bar, Rugby Football",9600,200,48000,-20.0,OK
restaurant_ambience.wav,restaurant_ambience,restaurant ambience,07011341,Light chatter and movement. Lunch/dinner,9600,200,48000,-20.0,OK
cafe_ambience.wav,cafe_ambience,cafe coffee shop,07070195,"Coffee Shop, interior, busy shop atmosph",9600,200,48000,-20.0,OK
playground.wav,playground,children playground,07020047,"Junior School Playground, bell rings & c",9600,200,48000,-20.0,OK
classroom.wav,classroom,classroom children,07020035,"School Classroom, six 5-year old childre",9600,200,48000,-20.0,OK
office_ambience.wav,office_ambience,office ambience,07025105,"Skyline: Open, (specially created backgr",9600,200,48000,-20.0,OK
hospital_ambience.wav,hospital_ambience,hospital corridor,07070025,Hospital corridor atmosphere.,9600,200,48000,-20.0,OK
airport_ambience.wav,airport_ambience,airport terminal,00008002,Airport terminal,9600,200,48000,-20.0,OK
station_ambience.wav,station_ambience,railway station,00008088,Railway station,9600,200,48000,-20.0,OK
shopping_mall.wav,shopping_mall,shopping centre mall,0009058,shopping - shopping precinct - mall,9600,200,48000,-20.0,OK
dice_roll.wav,dice_roll,dice rolling table,07067066,Laying table.,9600,200,48000,-20.0,OK
card_shuffle.wav,card_shuffle,cards shuffling,07021010,A game of cards being played in a small ,9600,200,48000,-20.0,OK
card_deal.wav,card_deal,card dealing,00008029,City dealing room,9600,200,48000,-20.0,OK
chess_piece.wav,chess_piece,chess piece placing,07045116,"Hacksaw, small piece of Formica.",9600,200,48000,-20.0,OK
marble_roll.wav,marble_roll,marble rolling,07056030,"Marble terrace, Waimangu Volcanic Valley",9600,200,48000,-20.0,OK
